GEO_ID,NAME,B19013_001E,B19013_001M
Geography,Geographic Area Name,Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)
0400000US04,Arizona,79964,407
0500000US04001,"Apache County, Arizona",41438,2581
0500000US04003,"Cochise County, Arizona",59742,1950
0500000US04005,"Coconino County, Arizona",72966,2339
0500000US04007,"Gila County, Arizona",61986,2848
0500000US04009,"Graham County, Arizona",67325,4646
0500000US04011,"Greenlee County, Arizona",71164,12585
0500000US04012,"La Paz County, Arizona",49478,4006
0500000US04013,"Maricopa County, Arizona",89300,562
0500000US04015,"Mohave County, Arizona",57684,1429
0500000US04017,"Navajo County, Arizona",54606,2264
0500000US04019,"Pima County, Arizona",70315,1089
0500000US04021,"Pinal County, Arizona",80266,1518
0500000US04023,"Santa Cruz County, Arizona",55217,4149
0500000US04025,"Yavapai County, Arizona",69613,1866
0500000US04027,"Yuma County, Arizona",62876,2259
0500000US04001,"Apache County, Arizona",41438,2581
0500000US04003,"Cochise County, Arizona",59742,1950
0500000US04005,"Coconino County, Arizona",72966,2339
0500000US04007,"Gila County, Arizona",61986,2848
0500000US04009,"Graham County, Arizona",67325,4646
0500000US04011,"Greenlee County, Arizona",71164,12585
0500000US04012,"La Paz County, Arizona",49478,4006
0500000US04013,"Maricopa County, Arizona",89300,562
0500000US04015,"Mohave County, Arizona",57684,1429
0500000US04017,"Navajo County, Arizona",54606,2264
0500000US04019,"Pima County, Arizona",70315,1089
0500000US04021,"Pinal County, Arizona",80266,1518
0500000US04023,"Santa Cruz County, Arizona",55217,4149
0500000US04025,"Yavapai County, Arizona",69613,1866
0500000US04027,"Yuma County, Arizona",62876,2259
