Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Percent Population with At Least Bachelor's Degree,Data Time Period,Geographic Vintage,Data Source,Selected Location
County,Apache,AZ,4001,04001,16.56,2020-2024,2022,Census,Arizona (State)
County,Cochise,AZ,4003,04003,28.09,2020-2024,2022,Census,Arizona (State)
County,Coconino,AZ,4005,04005,40.34,2020-2024,2022,Census,Arizona (State)
County,Gila,AZ,4007,04007,18.73,2020-2024,2022,Census,Arizona (State)
County,Graham,AZ,4009,04009,14.58,2020-2024,2022,Census,Arizona (State)
County,Greenlee,AZ,4011,04011,20.87,2020-2024,2022,Census,Arizona (State)
County,La Paz,AZ,4012,04012,13.46,2020-2024,2022,Census,Arizona (State)
County,Maricopa,AZ,4013,04013,36.68,2020-2024,2022,Census,Arizona (State)
County,Mohave,AZ,4015,04015,15.22,2020-2024,2022,Census,Arizona (State)
County,Navajo,AZ,4017,04017,19.1,2020-2024,2022,Census,Arizona (State)
County,Pima,AZ,4019,04019,36.79,2020-2024,2022,Census,Arizona (State)
County,Pinal,AZ,4021,04021,22.47,2020-2024,2022,Census,Arizona (State)
County,Santa Cruz,AZ,4023,04023,23.14,2020-2024,2022,Census,Arizona (State)
County,Yavapai,AZ,4025,04025,30.25,2020-2024,2022,Census,Arizona (State)
County,Yuma,AZ,4027,04027,16.78,2020-2024,2022,Census,Arizona (State)
