Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Number in Labor Force,Data Time Period,Geographic Vintage,Data Source,Selected Location
County,Apache,AZ,4001,04001,18218,2024,2022,BLS,Arizona (State)
County,Cochise,AZ,4003,04003,47983,2024,2022,BLS,Arizona (State)
County,Coconino,AZ,4005,04005,75759,2024,2022,BLS,Arizona (State)
County,Gila,AZ,4007,04007,21412,2024,2022,BLS,Arizona (State)
County,Graham,AZ,4009,04009,16809,2024,2022,BLS,Arizona (State)
County,Greenlee,AZ,4011,04011,5267,2024,2022,BLS,Arizona (State)
County,La Paz,AZ,4012,04012,5961,2024,2022,BLS,Arizona (State)
County,Maricopa,AZ,4013,04013,2492391,2024,2022,BLS,Arizona (State)
County,Mohave,AZ,4015,04015,87750,2024,2022,BLS,Arizona (State)
County,Navajo,AZ,4017,04017,38122,2024,2022,BLS,Arizona (State)
County,Pima,AZ,4019,04019,493094,2024,2022,BLS,Arizona (State)
County,Pinal,AZ,4021,04021,217502,2024,2022,BLS,Arizona (State)
County,Santa Cruz,AZ,4023,04023,20468,2024,2022,BLS,Arizona (State)
County,Yavapai,AZ,4025,04025,106706,2024,2022,BLS,Arizona (State)
County,Yuma,AZ,4027,04027,98720,2024,2022,BLS,Arizona (State)
