Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Percent of People in Poverty,Data Time Period,Geographic Vintage,Data Source,Selected Location
County,Apache,AZ,4001,04001,30.53,2020-2024,2022,Census,Arizona (State)
County,Cochise,AZ,4003,04003,15.42,2020-2024,2022,Census,Arizona (State)
County,Coconino,AZ,4005,04005,16.77,2020-2024,2022,Census,Arizona (State)
County,Gila,AZ,4007,04007,16.89,2020-2024,2022,Census,Arizona (State)
County,Graham,AZ,4009,04009,17.26,2020-2024,2022,Census,Arizona (State)
County,Greenlee,AZ,4011,04011,8.19,2020-2024,2022,Census,Arizona (State)
County,La Paz,AZ,4012,04012,17.45,2020-2024,2022,Census,Arizona (State)
County,Maricopa,AZ,4013,04013,10.98,2020-2024,2022,Census,Arizona (State)
County,Mohave,AZ,4015,04015,16.09,2020-2024,2022,Census,Arizona (State)
County,Navajo,AZ,4017,04017,24.72,2020-2024,2022,Census,Arizona (State)
County,Pima,AZ,4019,04019,14.32,2020-2024,2022,Census,Arizona (State)
County,Pinal,AZ,4021,04021,11.1,2020-2024,2022,Census,Arizona (State)
County,Santa Cruz,AZ,4023,04023,20.18,2020-2024,2022,Census,Arizona (State)
County,Yavapai,AZ,4025,04025,12.04,2020-2024,2022,Census,Arizona (State)
County,Yuma,AZ,4027,04027,15.6,2020-2024,2022,Census,Arizona (State)
